"","Experiment","Cup","DPI","presence","temp","DTR","gametocytemia"
"265",1,5,22.5,0,21,0,0.000241379310344828
"266",1,5,22.5,0,21,0,0.000241379310344828
"267",1,5,22.5,0,21,0,0.000241379310344828
"268",1,5,22.5,0,21,0,0.000241379310344828
"269",1,6,22.5,1,21,0,0.000241379310344828
"270",1,6,22.5,1,21,0,0.000241379310344828
"271",1,6,22.5,0,21,0,0.000241379310344828
"272",1,6,22.5,0,21,0,0.000241379310344828
"273",1,6,22.5,0,21,0,0.000241379310344828
"274",1,6,22.5,0,21,0,0.000241379310344828
"275",1,6,22.5,0,21,0,0.000241379310344828
"276",1,6,22.5,0,21,0,0.000241379310344828
"277",1,6,22.5,0,21,0,0.000241379310344828
"278",1,6,22.5,0,21,0,0.000241379310344828
"279",1,5,24.5,1,21,0,0.000241379310344828
"280",1,5,24.5,1,21,0,0.000241379310344828
"281",1,5,24.5,0,21,0,0.000241379310344828
"282",1,5,24.5,0,21,0,0.000241379310344828
"283",1,5,24.5,0,21,0,0.000241379310344828
"284",1,5,24.5,0,21,0,0.000241379310344828
"285",1,5,24.5,0,21,0,0.000241379310344828
"286",1,5,24.5,0,21,0,0.000241379310344828
"287",1,5,24.5,0,21,0,0.000241379310344828
"288",1,5,24.5,0,21,0,0.000241379310344828
"289",1,6,24.5,0,21,0,0.000241379310344828
"290",1,6,24.5,0,21,0,0.000241379310344828
"291",1,6,24.5,0,21,0,0.000241379310344828
"292",1,6,24.5,0,21,0,0.000241379310344828
"293",1,6,24.5,0,21,0,0.000241379310344828
"294",1,6,24.5,0,21,0,0.000241379310344828
"295",1,6,24.5,0,21,0,0.000241379310344828
"296",1,6,24.5,0,21,0,0.000241379310344828
"297",1,6,24.5,0,21,0,0.000241379310344828
"298",1,6,24.5,0,21,0,0.000241379310344828
"299",1,5,26.5,1,21,0,0.000241379310344828
"300",1,5,26.5,1,21,0,0.000241379310344828
"301",1,5,26.5,1,21,0,0.000241379310344828
"302",1,5,26.5,0,21,0,0.000241379310344828
"303",1,5,26.5,0,21,0,0.000241379310344828
"304",1,5,26.5,0,21,0,0.000241379310344828
"305",1,5,26.5,0,21,0,0.000241379310344828
"306",1,5,26.5,0,21,0,0.000241379310344828
"307",1,5,26.5,0,21,0,0.000241379310344828
"308",1,5,26.5,0,21,0,0.000241379310344828
"309",1,6,26.5,1,21,0,0.000241379310344828
"310",1,6,26.5,1,21,0,0.000241379310344828
"311",1,6,26.5,1,21,0,0.000241379310344828
"312",1,6,26.5,1,21,0,0.000241379310344828
"313",1,6,26.5,0,21,0,0.000241379310344828
"314",1,6,26.5,0,21,0,0.000241379310344828
"315",1,6,26.5,0,21,0,0.000241379310344828
"316",1,6,26.5,0,21,0,0.000241379310344828
"317",1,6,26.5,0,21,0,0.000241379310344828
"318",1,6,26.5,0,21,0,0.000241379310344828
"319",1,5,28.5,1,21,0,0.000241379310344828
"320",1,5,28.5,0,21,0,0.000241379310344828
"321",1,5,28.5,0,21,0,0.000241379310344828
"322",1,5,28.5,0,21,0,0.000241379310344828
"323",1,5,28.5,0,21,0,0.000241379310344828
"324",1,5,28.5,0,21,0,0.000241379310344828
"325",1,5,28.5,0,21,0,0.000241379310344828
"326",1,5,28.5,0,21,0,0.000241379310344828
"327",1,5,28.5,0,21,0,0.000241379310344828
